00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\dabr.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\dm.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\dmL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\map.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\mapL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\q.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\qL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\reply.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\replyall.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\replyallL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\replyL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\retweet.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\retweeted.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\retweetedL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\retweetL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\star.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\starL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\star_grey.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\star_greyL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\trash.gif
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\trashL.png
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\twitter_button_2_lo.gif
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\index.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr-r430.zip
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: lzma920.7z
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: npp.5.9.src.7z
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: winter.m4a
00:42:15 [INF] (Synchronizer.sync:64) Sync finished (79 milliseconds)
00:44:34 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 00:44:34 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:44:53 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 00:44:53 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:45:19 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 00:45:19 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:45:30 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 00:45:30 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:00:37 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:00:37 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
